id,source_url,incident_title,location,category,date_incident,date_final_report,description,download_url,download_title,file_type
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R6)_C-AA.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R7)_O-ARAR.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_OSHA_(Aghorn_R8)_C-AA_4-10-2023.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_RRC_(Aghorn_R9)_C-AA_4-10-2023.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/1/20/Executive_Summary_from_Final_Report.pdf?16695,Executive Summary from Final Report,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/1/6/Aghorn_Factual_Update_Final_2020.07.27.pdf?16601,Factual Update,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/1/20/Aghorn_Investigation_Report_-_Board_Approved_Version_(5-4-21)_.pdf?16670,Aghorn Final Investigation Report,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/1/20/aghorn_public_meeting_presentation_-_final.pdf?16668,Aghorn Public Board Meeting Staff Presentations,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/1/6/Aghorn_Public_Meeting_Presentation_-_final.pdf?16665,Presentation from May 4th Public Board Meeting,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/1/20/Aghorn_Chairman_Opening_and_Closing_Statements_04_April_2021.pdf?16669,Aghorn Opening and Closing Statements by Chairman,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_ACD_(Airgas_R5)_C-AA.pdf,Recommendations Status Change,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Airgas_(Airgas_R1)_C-ERA.pdf,Recommendation Status Change,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_CGA_(Airgas_R2)_C-ERA.pdf,Recommendation Status Change Summary,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_CGA_(Airgas_R3)_C-AAA.pdf,Recommendation Status Change Summary,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_CGA_(Airgas_R4)_C-AA.pdf,Recommendation Status Change Summary,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Cryostar_USA_LLC_(Airgas_R6)__C-AA_9JUN17.pdf,Recommendations Status Change,pdf
201604IFL5,https://www.csb.gov/airgas-facility-fatal-explosion-/,AirGas Facility Fatal Explosion,"Location: Pensacola, FL",Chemical Manufacturing - Fire and Explosion,8/28/2016,4/20/2017,,https://www.csb.gov/assets/1/20/Airgas_Investigation_Report_-_Final_-_2017-02-28.pdf?15808,Airgas Final Investigation Report,pdf
,https://www.csb.gov/al-solutions-fatal-dust-explosion/,AL Solutions Fatal Dust Explosion,"Location: New Cumberland, WV",Combustible Dust Explosion and Fire,12/9/2010,7/16/2014,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__AL_Solutions_(AL_Solutions_R1-R4)_C-UANRR.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/al-solutions-fatal-dust-explosion/,AL Solutions Fatal Dust Explosion,"Location: New Cumberland, WV",Combustible Dust Explosion and Fire,12/9/2010,7/16/2014,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__AL_Solutions_(AL_Solutions_R1-R4)_C-UANRR1.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/al-solutions-fatal-dust-explosion/,AL Solutions Fatal Dust Explosion,"Location: New Cumberland, WV",Combustible Dust Explosion and Fire,12/9/2010,7/16/2014,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__AL_Solutions_(AL_Solutions_R1-R4)_C-UANRR2.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/al-solutions-fatal-dust-explosion/,AL Solutions Fatal Dust Explosion,"Location: New Cumberland, WV",Combustible Dust Explosion and Fire,12/9/2010,7/16/2014,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__AL_Solutions_(AL_Solutions_R1-R4)_C-UANRR3.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/al-solutions-fatal-dust-explosion/,AL Solutions Fatal Dust Explosion,"Location: New Cumberland, WV",Combustible Dust Explosion and Fire,12/9/2010,7/16/2014,,https://www.csb.gov/assets/1/20/Final_Case_Study_7.161.pdf?15288,AL Solutions,pdf
,https://www.csb.gov/al-solutions-fatal-dust-explosion/,AL Solutions Fatal Dust Explosion,"Location: New Cumberland, WV",Combustible Dust Explosion and Fire,12/9/2010,7/16/2014,,https://www.csb.gov/assets/1/20/0717CSB-AL_Solutions.pdf?15328,"Transcript from July 16, 2014 Public Meeting",pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Allied_UR1_thru_UR3__C-NLA.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Allied_UR1_thru_UR3__C-NLA1.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Allied_UR1_thru_UR3__C-NLA2.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Allied_R6__C-AA.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Kinder-Morgan_(Allied_R7)__C-AA1.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Allied_R5__C-AA.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/allied-terminals-fertilizer-tank-collapse/,Allied Terminals Fertilizer Tank Collapse,"Location: Chesapeake, VA",Community Impact,11/11/2008,5/26/2009,,https://www.csb.gov/assets/1/20/Allied_Terminals_Report_Final_7_13_09.pdf?13857,Allied Terminal Fertilizer Tank Collapse,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Arkema_Crosby_(Arkema_R1)_C-AA.pdf,Recommendation Status Change Summary,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Arkema_Inc_(Arkema_R2)__C-AA.pdf,Recommendation Status Change Summary,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__Arkema_(Arkema_R3)__C-AA.pdf,Recommendation Status Change Summary,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__CCPS_(Arkema_R4)__C-AA.pdf,Recommendation Status Change Summary,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Harris_County_(Arkema_R5)_C-AA.pdf,Recommendation Status Change Summary,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/1/20/CSB_Arkema_Exec_Summary_08.pdf?16265,Arkema Executive Summary,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/1/20/FINAL_Arkema_draft_report_2018-05-23.pdf?16272,Arkema Inc. Chemical Plant Final Investigation Report,pdf
201708ITX1,https://www.csb.gov/arkema-inc-chemical-plant-fire-/,Arkema Inc. Chemical Plant Fire,"Location: Crosby, TX",Chemical Manufacturing - Fire and Explosion,8/29/2017,5/24/2018,,https://www.csb.gov/assets/1/20/FINAL_Arkema_Executive_Summary_(Spanish).pdf?16330,Arkema Executive Summary - Spanish,pdf
,https://www.csb.gov/barton-solvents-explosions-and-fire/,Barton Solvents Explosions and Fire,"Location: Valley Center, KS",Chemical Distribution - Fire and Explosion,7/17/2007,6/26/2008,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_OSHA_(Barton_R2)_C-AA.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/barton-solvents-explosions-and-fire/,Barton Solvents Explosions and Fire,"Location: Valley Center, KS",Chemical Distribution - Fire and Explosion,7/17/2007,6/26/2008,,https://www.csb.gov/assets/1/20/CSB_Study_Barton_Final.pdf?13738,Case Study,pdf
,https://www.csb.gov/barton-solvents-flammable-liquid-explosion-and-fire/,Barton Solvents Flammable Liquid Explosion and Fire,"Location: Des Moines, IA",Chemical Distribution - Fire and Explosion,10/29/2007,9/18/2008,,https://www.csb.gov/assets/1/20/Barton_Case_Study_-_9_18_2008.pdf?13740,Case Study,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__BCS_Institute_R4__C-AA.pdf,Download,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Bayer_R5__C-AA.pdf,Download,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__BCS_Corporate_(Bayer_R1)__C-AA__7-5-2017.pdf,Recommendations Status Change Summary,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__KCHD_(Bayer_R6)_-_C-UA-NRR.pdf,Recommendation Status Change Summary,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/bayer_report_final.pdf,Download,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__WVDEP_(Bayer_R7B)_-_C-NLA.pdf,Recommendation Status Change Summary,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__WVDHHR_(Bayer_R7A)_-_C-NLA.pdf,Recommendation Status Change Summary,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/BreslandBayerCombinedTestimony.pdf?13859,4.21.2009 Testimony of John Bresland Before Energy and Commerce,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/Bayer_Report_Final.pdf?13959,Final Investigation Report,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/Final_Report1.pdf?16377,Bayer CropScience,pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/Use___Storage_of_MIC_at_BCS_(NAS)_(1).pdf?16742,The Use and Storage of Methyl Isocyanate (MIC) at Bayer CropScience (2012),pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/Bayer_CS_mtg_final_media.pdf?13858,"PowerPoint Presentation from April 23, 2009 CSB Public Meeting",pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/transcript1.pdf?13961,"Transcript from CSB's January 20, 2011 public meeting",pdf
200808IWV2,https://www.csb.gov/bayer-cropscience-pesticide-waste-tank-explosion/,Bayer CropScience Pesticide Waste Tank Explosion,"Location: Institute, WV",Chemical Manufacturing - Fire and Explosion,8/28/2008,1/20/2011,,https://www.csb.gov/assets/1/20/bayer_public_meeting_transcripts_4_23_2009.pdf?13856,"Transcript of Board Public Meeting, Institute, WV, April 23, 2009",pdf
200102IIN10,https://www.csb.gov/bethlehem-steel-corporation-gas-condensate-fire/,Bethlehem Steel Corporation Gas Condensate Fire,"Location: Chesterton, IN",Chemical Manufacturing - Fire and Explosion,2/2/2001,12/6/2001,,https://www.csb.gov/assets/1/20/BethlehemFinal.pdf?13753,Final Investigation Report,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__NFPA_(Bethune_R5)__C-AAA1.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_OSHA_(Bethune_R6)_C-RS.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/recommendation/Status_Change_Summary__WEF_(Bethune_R7)__C-AA.pdf,Recommendation Status Change Summary,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/1/20/Status_change_letter_Florida_(Bethune)_C-UA-1.pdf?13964,Status Change letter 7.5.2011,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/1/20/Bethune_Final_Report.pdf?13742,Final Investigation Report,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/1/20/Presentation_Final_RH_1-22-07_PDF.pdf?13878,CSB PowerPoint Presentation from Public Meeting,pdf
,https://www.csb.gov/bethune-point-wastewater-plant-explosion/,Bethune Point Wastewater Plant Explosion,"Location: Daytona Beach, FL",Flammable Vapor,1/11/2006,3/13/2007,,https://www.csb.gov/assets/1/20/Bethune_Transcript.pdf?13845,"Transcript of CSB Public Hearing, Bethune Point Wastewater Treatment Plant, December 14, 2006",pdf
,https://www.csb.gov/bio-lab-conyers-chemical-release-/,Bio Lab Conyers Chemical Release,"Location: Conyers, GA",Release,9/14/2020,01/01/0001,,https://www.csb.gov/assets/1/20/biolab_investigation_report_2023-4-24_r11.pdf?17003,"Chemical Reaction, Decomposition, and Toxic Gas Release at Bio-Lab, Inc.",pdf
,https://www.csb.gov/bio-lab-conyers-chemical-release-/,Bio Lab Conyers Chemical Release,"Location: Conyers, GA",Release,9/14/2020,01/01/0001,,https://www.csb.gov/assets/1/20/CSB_Report_Schedule.pdf?16814,Investigation Report Release Schedule,pdf
202005ILA1,https://www.csb.gov/bio-lab-lake-charles-chemical-fire-and-release-/,Bio-Lab Lake Charles Chemical Fire and Release,"Location: Lake Charles, LA",Reactive Incident,8/27/2020,4/24/2023,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Bio-Lab_(Bio-Lab_R1)_C-AA.pdf,Recommendation Status Change Summary,pdf
202005ILA1,https://www.csb.gov/bio-lab-lake-charles-chemical-fire-and-release-/,Bio-Lab Lake Charles Chemical Fire and Release,"Location: Lake Charles, LA",Reactive Incident,8/27/2020,4/24/2023,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Bio-Lab_(Bio-Lab_R2)_C-AA.pdf,Recommendation Status Change Summary,pdf
202005ILA1,https://www.csb.gov/bio-lab-lake-charles-chemical-fire-and-release-/,Bio-Lab Lake Charles Chemical Fire and Release,"Location: Lake Charles, LA",Reactive Incident,8/27/2020,4/24/2023,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Bio-Lab_(Bio-Lab_R3).pdf,Recommendation Status Change Summary,pdf
